date,event,url,doc,url_doc
30-07,World Day against Trafficking in Persons,https://www.un.org/en/observances/end-human-trafficking-day,A/RES/68/192,https://undocs.org/en/A/RES/68/192
01-08,World Breastfeeding Week [WHO],https://www.who.int/news-room/events/detail/2019/08/01/default-calendar/world-breastfeeding-week-2019,,
09-08,International Day of the World's Indigenous Peoples,https://www.un.org/en/observances/indigenous-day,A/RES/49/214,https://undocs.org/en/A/RES/49/214
12-08,International Youth Day,https://www.un.org/en/observances/youth-day,A/RES/54/120,https://undocs.org/en/A/RES/54/120
19-08,World Humanitarian Day,https://www.un.org/en/observances/humanitarian-day,A/RES/63/139,https://undocs.org/en/A/RES/63/139
21-08,International Day of Remembrance and Tribute to the Victims of Terrorism,https://www.un.org/en/observances/terrorism-victims-day,A/RES/72/165,https://undocs.org/en/A/RES/72/165
22-08,International Day Commemorating the Victims of Acts of Violence Based on Religion or Belief,https://www.un.org/en/observances/religious-based-violence-victims-day,A/RES/73/296,https://undocs.org/en/A/RES/73/296
23-08,International Day for the Remembrance of the Slave Trade and Its Abolition,https://en.unesco.org/commemorations/remembranceday,UNESCO 29 C/Resolution 40),https://unesdoc.unesco.org/ark:/48223/pf0000110220.page=72
29-08,International Day against Nuclear Tests,https://www.un.org/en/observances/end-nuclear-tests-day,A/RES/64/35,http://undocs.org/en/A/RES/64/35
30-08,International Day of the Victims of Enforced Disappearances,https://www.un.org/en/observances/victims-enforced-disappearance,A/RES/65/209,http://undocs.org/en/A/RES/65/209
31-08,International Day for People of African Descent,,A/RES/75/170 draft A/75/476,https://undocs.org/en/A/75/476
05-09,International Day of Charity,https://www.un.org/en/observances/charity-day,A/RES/67/105,https://undocs.org/en/A/RES/67/105
07-09,International Day of Clean Air for Blue Skies,https://www.un.org/en/observances/clean-air-day,A/RES/74/212,https://undocs.org/en/A/RES/74/212
08-09,International Literacy Day,https://www.un.org/en/observances/literacy-day,UNESCO 14 C/Resolution 1.441,https://unesdoc.unesco.org/ark:/48223/pf0000114048.xml=http://www.unesco.org/ulis/cgi-bin/ulis.pl
09-09,International Day to Protect Education from Attack,https://www.un.org/en/observances/protect-education-day,A/RES/74/275,https://undocs.org/en/A/RES/74/275
12-09,United Nations Day for South-South Cooperation,https://www.un.org/en/observances/south-south-cooperation-day,A/RES/58/220,https://undocs.org/en/A/RES/58/220
15-09,International Day of Democracy,https://www.un.org/en/observances/democracy-day,A/RES/62/7,https://undocs.org/en/A/RES/62/7
16-09,International Day for the Preservation of the Ozone Layer,https://www.un.org/en/observances/ozone-day,A/RES/49/114,https://undocs.org/en/A/RES/49/114
17-09,World Patient Safety Day,https://www.who.int/campaigns/world-patient-safety-day/,,
18-09,International Equal Pay Day,https://www.un.org/en/observances/equal-pay-day,A/RES/74/142,https://undocs.org/en/A/RES/74/142
21-09,International Day of Peace,https://www.un.org/en/observances/international-day-peace,A/RES/36/67 & ,https://undocs.org/en/A/RES/36/67
23-09,International Day of Sign Languages,https://www.un.org/en/observances/sign-languages-day,A/RES/72/161,https://undocs.org/en/A/RES/72/161
26-09,International Day for the Total Elimination of Nuclear Weapons,https://www.un.org/en/observances/nuclear-weapons-elimination-day,A/RES/68/32,https://undocs.org/en/A/RES/68/32
27-09,World Tourism Day,https://www.un.org/en/observances/tourism-day,,
28-09,International Day for Universal Access to Information,https://www.un.org/en/observances/information-access-day,A/RES/74/5,https://undocs.org/en/A/RES/74/5
29-09,International Day of Awareness of Food Loss and Waste,https://www.un.org/en/observances/end-food-waste-day/,A/RES/74/209,https://undocs.org/en/A/RES/74/209
30-09,World Maritime Day,https://www.un.org/en/observances/maritime-day,IMCO/C XXXVIII/21,
30-09,International Translation Day,https://www.un.org/en/observances/international-translation-day,A/RES/71/288,https://undocs.org/en/A/RES/71/288
01-10,International Day of Older Persons,https://www.un.org/en/observances/older-persons-day,A/RES/45/106,http://undocs.org/en/A/RES/45/106
02-10,World Statistics Day,https://www.un.org/en/observances/statistics-day,A/RES/69/282,http://undocs.org/en/A/RES/69/282
02-10,International Day of Non-Violence,https://www.un.org/en/observances/non-violence-day,A/RES/61/271,http://undocs.org/en/A/RES/61/271
04-10,World Habitat Day,https://www.un.org/en/observances/habitat-day,A/RES/40/202 A,http://undocs.org/en/A/RES/40/202
04-10,World Space Week,https://www.un.org/en/observances/world-space-week,A/RES/54/68,http://undocs.org/en/A/RES/54/68
05-10,World Teachers’ Day,https://en.unesco.org/commemorations/worldteachersday,UNESCO 27 C/INF.7),https://unesdoc.unesco.org/ark:/48223/pf0000095720.page=5
09-10,World Migratory Bird Day,http://www.worldmigratorybirdday.org/,,
09-10,World Post Day,https://www.un.org/en/observances/world-post-day,UPU/1969/Res.C.11,
10-10,World Mental Health Day,http://www.who.int/mental_health/world-mental-health-day/en/,,
11-10,International Day of the Girl Child,https://www.un.org/en/observances/girl-child-day,A/RES/66/170,http://undocs.org/en/A/RES/66/170
13-10,International Day for Disaster Risk Reduction,https://www.un.org/en/observances/disaster-reduction-day,A/RES/64/200,http://undocs.org/en/A/RES/64/200
15-10,International Day of Rural Women,https://www.un.org/en/observances/rural-women-day,A/RES/62/136,http://undocs.org/en/A/RES/62/136
16-10,World Food Day,http://www.fao.org/world-food-day,A/RES/35/70,http://undocs.org/en/A/RES/62/136
17-10,International Day for the Eradication of Poverty,https://www.un.org/en/observances/day-for-eradicating-poverty,A/RES/47/196,http://undocs.org/en/A/RES/62/136
24-10,Global Media and Information Literacy Week,,A/RES/75/267,http://undocs.org/en/A/RES/75/267
24-10,United Nations Day,https://www.un.org/en/observances/un-day,A/RES/168 (II),http://undocs.org/en/A/RES/168%20(II)
24-10,Disarmament Week,https://www.un.org/en/observances/disarmament-week,A/RES/S-10/2 (p. 102),http://undocs.org/en/A/RES/S-10/2
24-10,World Development Information Day,https://www.un.org/en/observances/development-information-day,A/RES/3038 (XXVII),http://undocs.org/en/A/RES/3038%20(XXVII)
27-10,World Day for Audiovisual Heritage,https://www.un.org/en/observances/audiovisual-heritage-day,UNESCO 33/C/Resolution 5,https://unesdoc.unesco.org/ark:/48223/pf0000142825.page=86
31-10,World Cities Day,https://www.un.org/en/observances/cities-day,A/RES/68/239,https://undocs.org/en/A/RES/68/239
02-11,International Day to End Impunity for Crimes against Journalists,https://www.un.org/en/observances/end-impunity-crimes-against-journalists,A/RES/68/163,https://undocs.org/en/A/RES/68/163
05-11,World Tsunami Awareness Day,https://www.un.org/en/observances/tsunami-awareness-day,A/RES/70/203,https://undocs.org/en/A/RES/70/203
